snr,	Pd
-20.000000,	0.000833
-19.900000,	0.000500
-19.800000,	0.001000
-19.700000,	0.000667
-19.600000,	0.001333
-19.500000,	0.000667
-19.400000,	0.000833
-19.300000,	0.000500
-19.200000,	0.000667
-19.100000,	0.001167
-19.000000,	0.000833
-18.900000,	0.001667
-18.800000,	0.001167
-18.700000,	0.001000
-18.600000,	0.001167
-18.500000,	0.001000
-18.400000,	0.002000
-18.300000,	0.002333
-18.200000,	0.002000
-18.100000,	0.002167
-18.000000,	0.000833
-17.900000,	0.002333
-17.800000,	0.001667
-17.700000,	0.002667
-17.600000,	0.002333
-17.500000,	0.002167
-17.400000,	0.003000
-17.300000,	0.002333
-17.200000,	0.004500
-17.100000,	0.003833
-17.000000,	0.003500
-16.900000,	0.004000
-16.800000,	0.003000
-16.700000,	0.004833
-16.600000,	0.004167
-16.500000,	0.005833
-16.400000,	0.004000
-16.300000,	0.005000
-16.200000,	0.006500
-16.100000,	0.007167
-16.000000,	0.007167
-15.900000,	0.006167
-15.800000,	0.006500
-15.700000,	0.010333
-15.600000,	0.010833
-15.500000,	0.010333
-15.400000,	0.008167
-15.300000,	0.011667
-15.200000,	0.013000
-15.100000,	0.012833
-15.000000,	0.013000
-14.900000,	0.016000
-14.800000,	0.017667
-14.700000,	0.020833
-14.600000,	0.018667
-14.500000,	0.020500
-14.400000,	0.022500
-14.300000,	0.024000
-14.200000,	0.026833
-14.100000,	0.026667
-14.000000,	0.029667
-13.900000,	0.036833
-13.800000,	0.032500
-13.700000,	0.043667
-13.600000,	0.041667
-13.500000,	0.043500
-13.400000,	0.043500
-13.300000,	0.051000
-13.200000,	0.062167
-13.100000,	0.059000
-13.000000,	0.065333
-12.900000,	0.070667
-12.800000,	0.068333
-12.700000,	0.075667
-12.600000,	0.082333
-12.500000,	0.092333
-12.400000,	0.089500
-12.300000,	0.102500
-12.200000,	0.112333
-12.100000,	0.116000
-12.000000,	0.123667
-11.900000,	0.130333
-11.800000,	0.149333
-11.700000,	0.153000
-11.600000,	0.165167
-11.500000,	0.166167
-11.400000,	0.179833
-11.300000,	0.195167
-11.200000,	0.199833
-11.100000,	0.213167
-11.000000,	0.217500
-10.900000,	0.233167
-10.800000,	0.249833
-10.700000,	0.259167
-10.600000,	0.265667
-10.500000,	0.274167
-10.400000,	0.284167
-10.300000,	0.299833
-10.200000,	0.307000
-10.100000,	0.321167
-10.000000,	0.331333
-9.900000,	0.341833
-9.800000,	0.347833
-9.700000,	0.363833
-9.600000,	0.377000
-9.500000,	0.389667
-9.400000,	0.401000
-9.300000,	0.413833
-9.200000,	0.419000
-9.100000,	0.441167
-9.000000,	0.438000
-8.900000,	0.452833
-8.800000,	0.468833
-8.700000,	0.472667
-8.600000,	0.495167
-8.500000,	0.510833
-8.400000,	0.518667
-8.300000,	0.522833
-8.200000,	0.540000
-8.100000,	0.553333
-8.000000,	0.565667
-7.900000,	0.581333
-7.800000,	0.591833
-7.700000,	0.619833
-7.600000,	0.630500
-7.500000,	0.637500
-7.400000,	0.660000
-7.300000,	0.657667
-7.200000,	0.678500
-7.100000,	0.697833
-7.000000,	0.718167
-6.900000,	0.733500
-6.800000,	0.745833
-6.700000,	0.756833
-6.600000,	0.769333
-6.500000,	0.792667
-6.400000,	0.803667
-6.300000,	0.820333
-6.200000,	0.825167
-6.100000,	0.839333
-6.000000,	0.862000
-5.900000,	0.859000
-5.800000,	0.872833
-5.700000,	0.886167
-5.600000,	0.901167
-5.500000,	0.913000
-5.400000,	0.918167
-5.300000,	0.926833
-5.200000,	0.932667
-5.100000,	0.938000
-5.000000,	0.942500
-4.900000,	0.952833
-4.800000,	0.956167
-4.700000,	0.964000
-4.600000,	0.968500
-4.500000,	0.972333
-4.400000,	0.976333
-4.300000,	0.980000
-4.200000,	0.983667
-4.100000,	0.984333
-4.000000,	0.987833
-3.900000,	0.988833
-3.800000,	0.990833
-3.700000,	0.992167
-3.600000,	0.994333
-3.500000,	0.995667
-3.400000,	0.996000
-3.300000,	0.996833
-3.200000,	0.998500
-3.100000,	0.998333
-3.000000,	0.999333
-2.900000,	0.999000
-2.800000,	0.998500
-2.700000,	0.999333
-2.600000,	0.999667
-2.500000,	0.999500
-2.400000,	0.999667
-2.300000,	0.999500
-2.200000,	1.000000
-2.100000,	1.000000
-2.000000,	0.999833
-1.900000,	1.000000
-1.800000,	1.000000
-1.700000,	1.000000
-1.600000,	1.000000
-1.500000,	1.000000
-1.400000,	1.000000
-1.300000,	1.000000
-1.200000,	1.000000
-1.100000,	1.000000
-1.000000,	1.000000
