dbW,	Pfa
-30.000000,	0.000094
-29.900000,	0.000094
-29.800000,	0.000109
-29.700000,	0.000090
-29.600000,	0.000117
-29.500000,	0.000117
-29.400000,	0.000090
-29.300000,	0.000105
-29.200000,	0.000102
-29.100000,	0.000121
-29.000000,	0.000117
-28.900000,	0.000086
-28.800000,	0.000090
-28.700000,	0.000117
-28.600000,	0.000082
-28.500000,	0.000098
-28.400000,	0.000094
-28.300000,	0.000090
-28.200000,	0.000055
-28.100000,	0.000086
-28.000000,	0.000098
-27.900000,	0.000113
-27.800000,	0.000121
-27.700000,	0.000105
-27.600000,	0.000141
-27.500000,	0.000102
-27.400000,	0.000078
-27.300000,	0.000113
-27.200000,	0.000086
-27.100000,	0.000094
-27.000000,	0.000086
-26.900000,	0.000121
-26.800000,	0.000074
-26.700000,	0.000098
-26.600000,	0.000133
-26.500000,	0.000105
-26.400000,	0.000133
-26.300000,	0.000078
-26.200000,	0.000094
-26.100000,	0.000109
-26.000000,	0.000078
-25.900000,	0.000094
-25.800000,	0.000098
-25.700000,	0.000105
-25.600000,	0.000102
-25.500000,	0.000156
-25.400000,	0.000113
-25.300000,	0.000109
-25.200000,	0.000102
-25.100000,	0.000070
-25.000000,	0.000086
-24.900000,	0.000109
-24.800000,	0.000137
-24.700000,	0.000098
-24.600000,	0.000090
-24.500000,	0.000094
-24.400000,	0.000109
-24.300000,	0.000117
-24.200000,	0.000117
-24.100000,	0.000082
-24.000000,	0.000102
-23.900000,	0.000109
-23.800000,	0.000090
-23.700000,	0.000102
-23.600000,	0.000102
-23.500000,	0.000113
-23.400000,	0.000086
-23.300000,	0.000063
-23.200000,	0.000133
-23.100000,	0.000102
-23.000000,	0.000098
-22.900000,	0.000059
-22.800000,	0.000094
-22.700000,	0.000109
-22.600000,	0.000082
-22.500000,	0.000125
-22.400000,	0.000082
-22.300000,	0.000094
-22.200000,	0.000172
-22.100000,	0.000105
-22.000000,	0.000098
-21.900000,	0.000117
-21.800000,	0.000090
-21.700000,	0.000086
-21.600000,	0.000109
-21.500000,	0.000094
-21.400000,	0.000109
-21.300000,	0.000098
-21.200000,	0.000129
-21.100000,	0.000125
-21.000000,	0.000105
-20.900000,	0.000086
-20.800000,	0.000125
-20.700000,	0.000098
-20.600000,	0.000086
-20.500000,	0.000102
-20.400000,	0.000086
-20.300000,	0.000094
-20.200000,	0.000113
-20.100000,	0.000063
-20.000000,	0.000102
-19.900000,	0.000141
-19.800000,	0.000121
-19.700000,	0.000082
-19.600000,	0.000102
-19.500000,	0.000121
-19.400000,	0.000082
-19.300000,	0.000098
-19.200000,	0.000082
-19.100000,	0.000094
-19.000000,	0.000094
-18.900000,	0.000125
-18.800000,	0.000105
-18.700000,	0.000066
-18.600000,	0.000121
-18.500000,	0.000117
-18.400000,	0.000117
-18.300000,	0.000086
-18.200000,	0.000125
-18.100000,	0.000125
-18.000000,	0.000090
-17.900000,	0.000121
-17.800000,	0.000078
-17.700000,	0.000129
-17.600000,	0.000137
-17.500000,	0.000180
-17.400000,	0.000133
-17.300000,	0.000109
-17.200000,	0.000109
-17.100000,	0.000086
-17.000000,	0.000059
-16.900000,	0.000121
-16.800000,	0.000102
-16.700000,	0.000109
-16.600000,	0.000074
-16.500000,	0.000137
-16.400000,	0.000094
-16.300000,	0.000074
-16.200000,	0.000113
-16.100000,	0.000094
-16.000000,	0.000086
-15.900000,	0.000098
-15.800000,	0.000098
-15.700000,	0.000113
-15.600000,	0.000125
-15.500000,	0.000109
-15.400000,	0.000121
-15.300000,	0.000105
-15.200000,	0.000125
-15.100000,	0.000148
-15.000000,	0.000098
-14.900000,	0.000137
-14.800000,	0.000105
-14.700000,	0.000090
-14.600000,	0.000105
-14.500000,	0.000098
-14.400000,	0.000090
-14.300000,	0.000109
-14.200000,	0.000117
-14.100000,	0.000094
-14.000000,	0.000121
-13.900000,	0.000109
-13.800000,	0.000109
-13.700000,	0.000113
-13.600000,	0.000086
-13.500000,	0.000113
-13.400000,	0.000113
-13.300000,	0.000090
-13.200000,	0.000102
-13.100000,	0.000117
-13.000000,	0.000102
-12.900000,	0.000090
-12.800000,	0.000086
-12.700000,	0.000113
-12.600000,	0.000109
-12.500000,	0.000066
-12.400000,	0.000090
-12.300000,	0.000082
-12.200000,	0.000059
-12.100000,	0.000102
-12.000000,	0.000125
-11.900000,	0.000090
-11.800000,	0.000098
-11.700000,	0.000102
-11.600000,	0.000129
-11.500000,	0.000109
-11.400000,	0.000137
-11.300000,	0.000125
-11.200000,	0.000063
-11.100000,	0.000113
-11.000000,	0.000109
-10.900000,	0.000094
-10.800000,	0.000102
-10.700000,	0.000102
-10.600000,	0.000066
-10.500000,	0.000078
-10.400000,	0.000113
-10.300000,	0.000117
-10.200000,	0.000102
-10.100000,	0.000125
-10.000000,	0.000137
-9.900000,	0.000105
-9.800000,	0.000133
-9.700000,	0.000078
-9.600000,	0.000105
-9.500000,	0.000129
-9.400000,	0.000074
-9.300000,	0.000102
-9.200000,	0.000074
-9.100000,	0.000133
-9.000000,	0.000102
-8.900000,	0.000102
-8.800000,	0.000125
-8.700000,	0.000133
-8.600000,	0.000102
-8.500000,	0.000090
-8.400000,	0.000113
-8.300000,	0.000078
-8.200000,	0.000086
-8.100000,	0.000109
-8.000000,	0.000098
-7.900000,	0.000117
-7.800000,	0.000078
-7.700000,	0.000160
-7.600000,	0.000105
-7.500000,	0.000113
-7.400000,	0.000082
-7.300000,	0.000105
-7.200000,	0.000086
-7.100000,	0.000098
-7.000000,	0.000109
-6.900000,	0.000090
-6.800000,	0.000113
-6.700000,	0.000141
-6.600000,	0.000090
-6.500000,	0.000082
-6.400000,	0.000063
-6.300000,	0.000113
-6.200000,	0.000102
-6.100000,	0.000105
-6.000000,	0.000094
-5.900000,	0.000113
-5.800000,	0.000105
-5.700000,	0.000113
-5.600000,	0.000094
-5.500000,	0.000086
-5.400000,	0.000094
-5.300000,	0.000105
-5.200000,	0.000086
-5.100000,	0.000094
-5.000000,	0.000105
-4.900000,	0.000156
-4.800000,	0.000121
-4.700000,	0.000141
-4.600000,	0.000102
-4.500000,	0.000117
-4.400000,	0.000098
-4.300000,	0.000141
-4.200000,	0.000125
-4.100000,	0.000105
-4.000000,	0.000074
-3.900000,	0.000129
-3.800000,	0.000094
-3.700000,	0.000105
-3.600000,	0.000125
-3.500000,	0.000082
-3.400000,	0.000098
-3.300000,	0.000078
-3.200000,	0.000109
-3.100000,	0.000082
-3.000000,	0.000105
-2.900000,	0.000117
-2.800000,	0.000086
-2.700000,	0.000113
-2.600000,	0.000074
-2.500000,	0.000117
-2.400000,	0.000082
-2.300000,	0.000078
-2.200000,	0.000070
-2.100000,	0.000113
-2.000000,	0.000055
-1.900000,	0.000117
-1.800000,	0.000125
-1.700000,	0.000141
-1.600000,	0.000082
-1.500000,	0.000102
-1.400000,	0.000125
-1.300000,	0.000074
-1.200000,	0.000086
-1.100000,	0.000090
-1.000000,	0.000082
-0.900000,	0.000113
-0.800000,	0.000086
-0.700000,	0.000074
-0.600000,	0.000125
-0.500000,	0.000129
-0.400000,	0.000074
-0.300000,	0.000109
-0.200000,	0.000125
-0.100000,	0.000082
0.000000,	0.000168
0.100000,	0.000105
0.200000,	0.000074
0.300000,	0.000066
0.400000,	0.000098
0.500000,	0.000086
0.600000,	0.000145
0.700000,	0.000113
0.800000,	0.000082
0.900000,	0.000113
1.000000,	0.000074
1.100000,	0.000125
1.200000,	0.000105
1.300000,	0.000121
1.400000,	0.000109
1.500000,	0.000105
1.600000,	0.000109
1.700000,	0.000086
1.800000,	0.000086
1.900000,	0.000102
2.000000,	0.000070
2.100000,	0.000145
2.200000,	0.000102
2.300000,	0.000129
2.400000,	0.000102
2.500000,	0.000086
2.600000,	0.000074
2.700000,	0.000063
2.800000,	0.000090
2.900000,	0.000105
3.000000,	0.000070
3.100000,	0.000129
3.200000,	0.000121
3.300000,	0.000086
3.400000,	0.000094
3.500000,	0.000098
3.600000,	0.000094
3.700000,	0.000074
3.800000,	0.000109
3.900000,	0.000098
4.000000,	0.000102
4.100000,	0.000082
4.200000,	0.000098
4.300000,	0.000121
4.400000,	0.000082
4.500000,	0.000125
4.600000,	0.000129
4.700000,	0.000098
4.800000,	0.000094
4.900000,	0.000086
5.000000,	0.000094
5.100000,	0.000090
5.200000,	0.000121
5.300000,	0.000098
5.400000,	0.000074
5.500000,	0.000094
5.600000,	0.000098
5.700000,	0.000090
5.800000,	0.000133
5.900000,	0.000074
6.000000,	0.000117
6.100000,	0.000074
6.200000,	0.000102
6.300000,	0.000125
6.400000,	0.000105
6.500000,	0.000121
6.600000,	0.000094
6.700000,	0.000094
6.800000,	0.000086
6.900000,	0.000109
7.000000,	0.000070
7.100000,	0.000105
7.200000,	0.000078
7.300000,	0.000082
7.400000,	0.000102
7.500000,	0.000074
7.600000,	0.000098
7.700000,	0.000090
7.800000,	0.000105
7.900000,	0.000121
8.000000,	0.000098
8.100000,	0.000082
8.200000,	0.000070
8.300000,	0.000086
8.400000,	0.000164
8.500000,	0.000102
8.600000,	0.000102
8.700000,	0.000094
8.800000,	0.000117
8.900000,	0.000098
9.000000,	0.000094
9.100000,	0.000094
9.200000,	0.000137
9.300000,	0.000137
9.400000,	0.000090
9.500000,	0.000102
9.600000,	0.000098
9.700000,	0.000059
9.800000,	0.000105
9.900000,	0.000102
10.000000,	0.000125
10.100000,	0.000063
10.200000,	0.000078
10.300000,	0.000063
10.400000,	0.000098
10.500000,	0.000129
10.600000,	0.000137
10.700000,	0.000148
10.800000,	0.000105
10.900000,	0.000082
11.000000,	0.000070
11.100000,	0.000125
11.200000,	0.000109
11.300000,	0.000098
11.400000,	0.000105
11.500000,	0.000109
11.600000,	0.000113
11.700000,	0.000145
11.800000,	0.000090
11.900000,	0.000113
12.000000,	0.000148
12.100000,	0.000082
12.200000,	0.000078
12.300000,	0.000113
12.400000,	0.000082
12.500000,	0.000105
12.600000,	0.000066
12.700000,	0.000094
12.800000,	0.000125
12.900000,	0.000078
13.000000,	0.000098
13.100000,	0.000074
13.200000,	0.000070
13.300000,	0.000098
13.400000,	0.000109
13.500000,	0.000117
13.600000,	0.000098
13.700000,	0.000121
13.800000,	0.000105
13.900000,	0.000105
14.000000,	0.000082
14.100000,	0.000152
14.200000,	0.000129
14.300000,	0.000070
14.400000,	0.000125
14.500000,	0.000094
14.600000,	0.000109
14.700000,	0.000102
14.800000,	0.000086
14.900000,	0.000109
15.000000,	0.000121
15.100000,	0.000082
15.200000,	0.000113
15.300000,	0.000078
15.400000,	0.000148
15.500000,	0.000109
15.600000,	0.000117
15.700000,	0.000086
15.800000,	0.000113
15.900000,	0.000113
16.000000,	0.000078
16.100000,	0.000105
16.200000,	0.000082
16.300000,	0.000102
16.400000,	0.000109
16.500000,	0.000086
16.600000,	0.000117
16.700000,	0.000082
16.800000,	0.000121
16.900000,	0.000102
17.000000,	0.000078
17.100000,	0.000121
17.200000,	0.000105
17.300000,	0.000137
17.400000,	0.000129
17.500000,	0.000090
17.600000,	0.000098
17.700000,	0.000094
17.800000,	0.000094
17.900000,	0.000109
18.000000,	0.000105
18.100000,	0.000098
18.200000,	0.000098
18.300000,	0.000074
18.400000,	0.000109
18.500000,	0.000074
18.600000,	0.000082
18.700000,	0.000082
18.800000,	0.000109
18.900000,	0.000098
19.000000,	0.000098
19.100000,	0.000113
19.200000,	0.000102
19.300000,	0.000098
19.400000,	0.000090
19.500000,	0.000098
19.600000,	0.000098
19.700000,	0.000090
19.800000,	0.000082
19.900000,	0.000129
20.000000,	0.000109
20.100000,	0.000113
20.200000,	0.000105
20.300000,	0.000105
20.400000,	0.000070
20.500000,	0.000082
20.600000,	0.000082
20.700000,	0.000066
20.800000,	0.000129
20.900000,	0.000094
21.000000,	0.000109
21.100000,	0.000125
21.200000,	0.000109
21.300000,	0.000098
21.400000,	0.000137
21.500000,	0.000164
21.600000,	0.000082
21.700000,	0.000090
21.800000,	0.000113
21.900000,	0.000066
22.000000,	0.000074
22.100000,	0.000094
22.200000,	0.000086
22.300000,	0.000090
22.400000,	0.000105
22.500000,	0.000078
22.600000,	0.000078
22.700000,	0.000102
22.800000,	0.000094
22.900000,	0.000098
23.000000,	0.000094
23.100000,	0.000078
23.200000,	0.000090
23.300000,	0.000098
23.400000,	0.000102
23.500000,	0.000129
23.600000,	0.000094
23.700000,	0.000082
23.800000,	0.000113
23.900000,	0.000121
24.000000,	0.000133
24.100000,	0.000141
24.200000,	0.000129
24.300000,	0.000113
24.400000,	0.000125
24.500000,	0.000102
24.600000,	0.000086
24.700000,	0.000074
24.800000,	0.000051
24.900000,	0.000113
25.000000,	0.000102
25.100000,	0.000121
25.200000,	0.000098
25.300000,	0.000117
25.400000,	0.000074
25.500000,	0.000105
25.600000,	0.000094
25.700000,	0.000105
25.800000,	0.000121
25.900000,	0.000113
26.000000,	0.000117
26.100000,	0.000117
26.200000,	0.000070
26.300000,	0.000156
26.400000,	0.000109
26.500000,	0.000105
26.600000,	0.000098
26.700000,	0.000117
26.800000,	0.000121
26.900000,	0.000137
27.000000,	0.000105
27.100000,	0.000086
27.200000,	0.000117
27.300000,	0.000086
27.400000,	0.000121
27.500000,	0.000102
27.600000,	0.000109
27.700000,	0.000102
27.800000,	0.000105
27.900000,	0.000098
28.000000,	0.000113
28.100000,	0.000133
28.200000,	0.000086
28.300000,	0.000090
28.400000,	0.000102
28.500000,	0.000102
28.600000,	0.000102
28.700000,	0.000156
28.800000,	0.000113
28.900000,	0.000070
29.000000,	0.000098
29.100000,	0.000117
29.200000,	0.000090
29.300000,	0.000094
29.400000,	0.000086
29.500000,	0.000121
29.600000,	0.000125
29.700000,	0.000109
29.800000,	0.000105
29.900000,	0.000105
30.000000,	0.000109
30.100000,	0.000109
30.200000,	0.000078
30.300000,	0.000109
30.400000,	0.000086
30.500000,	0.000074
30.600000,	0.000117
30.700000,	0.000078
30.800000,	0.000113
30.900000,	0.000098
