dbW,	Pfa
-30.000000,	0.000125
-29.900000,	0.000078
-29.800000,	0.000063
-29.700000,	0.000141
-29.600000,	0.000141
-29.500000,	0.000203
-29.400000,	0.000063
-29.300000,	0.000094
-29.200000,	0.000078
-29.100000,	0.000125
-29.000000,	0.000141
-28.900000,	0.000125
-28.800000,	0.000156
-28.700000,	0.000109
-28.600000,	0.000188
-28.500000,	0.000109
-28.400000,	0.000078
-28.300000,	0.000078
-28.200000,	0.000078
-28.100000,	0.000141
-28.000000,	0.000141
-27.900000,	0.000031
-27.800000,	0.000063
-27.700000,	0.000031
-27.600000,	0.000141
-27.500000,	0.000141
-27.400000,	0.000141
-27.300000,	0.000156
-27.200000,	0.000047
-27.100000,	0.000156
-27.000000,	0.000125
-26.900000,	0.000125
-26.800000,	0.000156
-26.700000,	0.000047
-26.600000,	0.000078
-26.500000,	0.000063
-26.400000,	0.000094
-26.300000,	0.000078
-26.200000,	0.000125
-26.100000,	0.000063
-26.000000,	0.000047
-25.900000,	0.000109
-25.800000,	0.000063
-25.700000,	0.000125
-25.600000,	0.000047
-25.500000,	0.000141
-25.400000,	0.000094
-25.300000,	0.000094
-25.200000,	0.000047
-25.100000,	0.000172
-25.000000,	0.000063
-24.900000,	0.000078
-24.800000,	0.000141
-24.700000,	0.000109
-24.600000,	0.000094
-24.500000,	0.000063
-24.400000,	0.000078
-24.300000,	0.000141
-24.200000,	0.000094
-24.100000,	0.000063
-24.000000,	0.000172
-23.900000,	0.000125
-23.800000,	0.000016
-23.700000,	0.000094
-23.600000,	0.000094
-23.500000,	0.000078
-23.400000,	0.000141
-23.300000,	0.000125
-23.200000,	0.000109
-23.100000,	0.000109
-23.000000,	0.000063
-22.900000,	0.000203
-22.800000,	0.000156
-22.700000,	0.000125
-22.600000,	0.000156
-22.500000,	0.000094
-22.400000,	0.000156
-22.300000,	0.000078
-22.200000,	0.000078
-22.100000,	0.000094
-22.000000,	0.000125
-21.900000,	0.000047
-21.800000,	0.000125
-21.700000,	0.000141
-21.600000,	0.000172
-21.500000,	0.000109
