dbW,	Pfa
-21.400000,	0.000125
-21.300000,	0.000094
-21.200000,	0.000094
-21.100000,	0.000078
-21.000000,	0.000078
-20.900000,	0.000172
-20.800000,	0.000109
-20.700000,	0.000125
-20.600000,	0.000156
-20.500000,	0.000078
-20.400000,	0.000078
-20.300000,	0.000063
-20.200000,	0.000063
-20.100000,	0.000125
-20.000000,	0.000094
-19.900000,	0.000172
-19.800000,	0.000094
-19.700000,	0.000109
-19.600000,	0.000156
-19.500000,	0.000031
-19.400000,	0.000109
-19.300000,	0.000109
-19.200000,	0.000125
-19.100000,	0.000156
-19.000000,	0.000063
-18.900000,	0.000094
-18.800000,	0.000063
-18.700000,	0.000047
-18.600000,	0.000094
-18.500000,	0.000109
-18.400000,	0.000094
-18.300000,	0.000125
-18.200000,	0.000141
-18.100000,	0.000094
-18.000000,	0.000125
-17.900000,	0.000125
-17.800000,	0.000172
-17.700000,	0.000094
-17.600000,	0.000109
-17.500000,	0.000125
-17.400000,	0.000094
-17.300000,	0.000109
-17.200000,	0.000125
-17.100000,	0.000109
-17.000000,	0.000141
-16.900000,	0.000094
-16.800000,	0.000141
-16.700000,	0.000172
-16.600000,	0.000047
-16.500000,	0.000141
-16.400000,	0.000047
-16.300000,	0.000063
-16.200000,	0.000094
-16.100000,	0.000125
-16.000000,	0.000141
-15.900000,	0.000063
-15.800000,	0.000125
-15.700000,	0.000094
-15.600000,	0.000109
-15.500000,	0.000125
-15.400000,	0.000141
-15.300000,	0.000219
-15.200000,	0.000141
-15.100000,	0.000172
-15.000000,	0.000141
-14.900000,	0.000172
-14.800000,	0.000078
-14.700000,	0.000109
-14.600000,	0.000063
-14.500000,	0.000078
-14.400000,	0.000125
-14.300000,	0.000125
-14.200000,	0.000125
-14.100000,	0.000047
-14.000000,	0.000063
-13.900000,	0.000109
-13.800000,	0.000078
-13.700000,	0.000094
-13.600000,	0.000156
-13.500000,	0.000063
-13.400000,	0.000094
-13.300000,	0.000078
-13.200000,	0.000063
-13.100000,	0.000172
-13.000000,	0.000109
-12.900000,	0.000047
-12.800000,	0.000078
-12.700000,	0.000094
-12.600000,	0.000078
-12.500000,	0.000063
-12.400000,	0.000172
-12.300000,	0.000063
-12.200000,	0.000063
-12.100000,	0.000094
-12.000000,	0.000094
-11.900000,	0.000156
-11.800000,	0.000125
-11.700000,	0.000063
-11.600000,	0.000156
-11.500000,	0.000109
-11.400000,	0.000156
-11.300000,	0.000047
-11.200000,	0.000063
-11.100000,	0.000078
-11.000000,	0.000094
-10.900000,	0.000188
-10.800000,	0.000094
-10.700000,	0.000109
-10.600000,	0.000047
-10.500000,	0.000156
-10.400000,	0.000063
-10.300000,	0.000109
-10.200000,	0.000156
-10.100000,	0.000063
-10.000000,	0.000188
-9.900000,	0.000063
-9.800000,	0.000156
-9.700000,	0.000094
-9.600000,	0.000141
-9.500000,	0.000094
-9.400000,	0.000125
-9.300000,	0.000125
-9.200000,	0.000047
-9.100000,	0.000156
-9.000000,	0.000109
-8.900000,	0.000063
-8.800000,	0.000188
-8.700000,	0.000063
-8.600000,	0.000094
-8.500000,	0.000078
-8.400000,	0.000109
-8.300000,	0.000094
-8.200000,	0.000078
-8.100000,	0.000141
-8.000000,	0.000063
-7.900000,	0.000141
-7.800000,	0.000063
-7.700000,	0.000156
-7.600000,	0.000109
-7.500000,	0.000031
-7.400000,	0.000156
-7.300000,	0.000047
-7.200000,	0.000094
-7.100000,	0.000063
-7.000000,	0.000031
-6.900000,	0.000031
-6.800000,	0.000031
-6.700000,	0.000031
-6.600000,	0.000094
-6.500000,	0.000141
-6.400000,	0.000031
-6.300000,	0.000125
-6.200000,	0.000031
-6.100000,	0.000109
-6.000000,	0.000063
-5.900000,	0.000047
-5.800000,	0.000125
-5.700000,	0.000094
-5.600000,	0.000063
-5.500000,	0.000094
-5.400000,	0.000125
-5.300000,	0.000047
-5.200000,	0.000063
-5.100000,	0.000094
-5.000000,	0.000188
-4.900000,	0.000172
-4.800000,	0.000094
-4.700000,	0.000109
-4.600000,	0.000109
-4.500000,	0.000109
-4.400000,	0.000078
-4.300000,	0.000156
-4.200000,	0.000109
-4.100000,	0.000078
-4.000000,	0.000063
-3.900000,	0.000078
-3.800000,	0.000094
-3.700000,	0.000047
-3.600000,	0.000125
-3.500000,	0.000172
-3.400000,	0.000063
-3.300000,	0.000078
-3.200000,	0.000125
-3.100000,	0.000078
-3.000000,	0.000125
-2.900000,	0.000078
-2.800000,	0.000078
-2.700000,	0.000141
-2.600000,	0.000125
-2.500000,	0.000109
-2.400000,	0.000156
-2.300000,	0.000109
-2.200000,	0.000109
-2.100000,	0.000094
-2.000000,	0.000109
-1.900000,	0.000219
-1.800000,	0.000078
-1.700000,	0.000109
-1.600000,	0.000094
-1.500000,	0.000078
-1.400000,	0.000109
-1.300000,	0.000063
-1.200000,	0.000141
-1.100000,	0.000063
-1.000000,	0.000125
-0.900000,	0.000125
-0.800000,	0.000125
-0.700000,	0.000078
-0.600000,	0.000063
-0.500000,	0.000047
-0.400000,	0.000078
-0.300000,	0.000078
-0.200000,	0.000016
-0.100000,	0.000078
0.000000,	0.000125
0.100000,	0.000109
0.200000,	0.000125
0.300000,	0.000109
0.400000,	0.000047
0.500000,	0.000141
0.600000,	0.000125
0.700000,	0.000063
0.800000,	0.000094
0.900000,	0.000031
1.000000,	0.000156
1.100000,	0.000156
1.200000,	0.000063
1.300000,	0.000109
1.400000,	0.000094
1.500000,	0.000125
1.600000,	0.000078
1.700000,	0.000219
1.800000,	0.000078
1.900000,	0.000109
2.000000,	0.000078
2.100000,	0.000125
2.200000,	0.000047
2.300000,	0.000094
2.400000,	0.000078
2.500000,	0.000094
2.600000,	0.000172
2.700000,	0.000078
2.800000,	0.000109
2.900000,	0.000047
3.000000,	0.000188
3.100000,	0.000109
3.200000,	0.000063
3.300000,	0.000125
3.400000,	0.000156
3.500000,	0.000094
3.600000,	0.000078
3.700000,	0.000109
3.800000,	0.000047
3.900000,	0.000109
4.000000,	0.000109
4.100000,	0.000172
4.200000,	0.000172
4.300000,	0.000109
4.400000,	0.000063
4.500000,	0.000109
4.600000,	0.000063
4.700000,	0.000109
4.800000,	0.000125
4.900000,	0.000125
5.000000,	0.000094
5.100000,	0.000109
5.200000,	0.000078
5.300000,	0.000063
5.400000,	0.000078
5.500000,	0.000063
5.600000,	0.000109
5.700000,	0.000063
5.800000,	0.000141
5.900000,	0.000156
6.000000,	0.000094
6.100000,	0.000172
6.200000,	0.000063
6.300000,	0.000078
6.400000,	0.000094
6.500000,	0.000063
6.600000,	0.000078
6.700000,	0.000078
6.800000,	0.000094
6.900000,	0.000156
7.000000,	0.000063
7.100000,	0.000109
7.200000,	0.000047
7.300000,	0.000063
7.400000,	0.000094
7.500000,	0.000125
7.600000,	0.000234
7.700000,	0.000078
7.800000,	0.000078
7.900000,	0.000125
8.000000,	0.000125
8.100000,	0.000141
8.200000,	0.000156
8.300000,	0.000063
8.400000,	0.000094
8.500000,	0.000094
8.600000,	0.000094
8.700000,	0.000094
8.800000,	0.000109
8.900000,	0.000094
9.000000,	0.000063
9.100000,	0.000094
9.200000,	0.000109
9.300000,	0.000109
9.400000,	0.000094
9.500000,	0.000125
9.600000,	0.000078
9.700000,	0.000141
9.800000,	0.000141
9.900000,	0.000125
10.000000,	0.000125
10.100000,	0.000141
10.200000,	0.000125
10.300000,	0.000109
10.400000,	0.000078
10.500000,	0.000078
10.600000,	0.000141
10.700000,	0.000047
10.800000,	0.000063
10.900000,	0.000156
11.000000,	0.000078
11.100000,	0.000078
11.200000,	0.000063
11.300000,	0.000109
11.400000,	0.000094
11.500000,	0.000031
11.600000,	0.000156
11.700000,	0.000078
11.800000,	0.000141
11.900000,	0.000078
12.000000,	0.000125
12.100000,	0.000094
12.200000,	0.000078
12.300000,	0.000125
12.400000,	0.000125
12.500000,	0.000063
12.600000,	0.000094
12.700000,	0.000109
12.800000,	0.000094
12.900000,	0.000078
13.000000,	0.000125
13.100000,	0.000063
13.200000,	0.000125
13.300000,	0.000094
13.400000,	0.000063
13.500000,	0.000125
13.600000,	0.000156
13.700000,	0.000141
13.800000,	0.000156
13.900000,	0.000125
14.000000,	0.000063
14.100000,	0.000031
14.200000,	0.000156
14.300000,	0.000031
14.400000,	0.000094
14.500000,	0.000031
14.600000,	0.000094
14.700000,	0.000078
14.800000,	0.000063
14.900000,	0.000063
15.000000,	0.000109
15.100000,	0.000141
15.200000,	0.000156
15.300000,	0.000109
15.400000,	0.000156
15.500000,	0.000125
15.600000,	0.000063
15.700000,	0.000078
15.800000,	0.000188
15.900000,	0.000078
16.000000,	0.000063
16.100000,	0.000063
16.200000,	0.000141
16.300000,	0.000141
16.400000,	0.000063
16.500000,	0.000047
16.600000,	0.000109
16.700000,	0.000063
16.800000,	0.000141
16.900000,	0.000109
17.000000,	0.000125
17.100000,	0.000094
17.200000,	0.000016
17.300000,	0.000172
17.400000,	0.000141
17.500000,	0.000125
17.600000,	0.000078
17.700000,	0.000109
17.800000,	0.000094
17.900000,	0.000125
18.000000,	0.000141
18.100000,	0.000156
18.200000,	0.000156
18.300000,	0.000109
18.400000,	0.000109
18.500000,	0.000047
18.600000,	0.000250
18.700000,	0.000141
18.800000,	0.000125
18.900000,	0.000078
19.000000,	0.000094
19.100000,	0.000094
19.200000,	0.000125
19.300000,	0.000125
19.400000,	0.000063
19.500000,	0.000109
19.600000,	0.000141
19.700000,	0.000078
19.800000,	0.000141
19.900000,	0.000141
20.000000,	0.000078
20.100000,	0.000109
20.200000,	0.000078
20.300000,	0.000078
20.400000,	0.000156
20.500000,	0.000109
20.600000,	0.000078
20.700000,	0.000094
20.800000,	0.000141
20.900000,	0.000109
21.000000,	0.000094
21.100000,	0.000125
21.200000,	0.000047
21.300000,	0.000109
21.400000,	0.000141
21.500000,	0.000141
21.600000,	0.000125
21.700000,	0.000078
21.800000,	0.000047
21.900000,	0.000047
22.000000,	0.000109
22.100000,	0.000109
22.200000,	0.000078
22.300000,	0.000078
22.400000,	0.000188
22.500000,	0.000109
22.600000,	0.000125
22.700000,	0.000094
22.800000,	0.000094
22.900000,	0.000078
23.000000,	0.000016
23.100000,	0.000109
23.200000,	0.000125
23.300000,	0.000125
23.400000,	0.000109
23.500000,	0.000047
23.600000,	0.000047
23.700000,	0.000109
23.800000,	0.000063
23.900000,	0.000047
24.000000,	0.000109
24.100000,	0.000109
24.200000,	0.000156
24.300000,	0.000094
24.400000,	0.000078
24.500000,	0.000063
24.600000,	0.000094
24.700000,	0.000141
24.800000,	0.000078
24.900000,	0.000078
25.000000,	0.000141
25.100000,	0.000125
25.200000,	0.000141
25.300000,	0.000109
25.400000,	0.000125
25.500000,	0.000078
25.600000,	0.000063
25.700000,	0.000094
25.800000,	0.000109
25.900000,	0.000094
26.000000,	0.000109
26.100000,	0.000094
26.200000,	0.000047
26.300000,	0.000063
26.400000,	0.000047
26.500000,	0.000125
26.600000,	0.000125
26.700000,	0.000125
26.800000,	0.000141
26.900000,	0.000156
27.000000,	0.000156
27.100000,	0.000078
27.200000,	0.000109
27.300000,	0.000156
27.400000,	0.000078
27.500000,	0.000094
27.600000,	0.000031
27.700000,	0.000094
27.800000,	0.000063
27.900000,	0.000031
28.000000,	0.000141
28.100000,	0.000094
28.200000,	0.000125
28.300000,	0.000141
28.400000,	0.000094
28.500000,	0.000078
28.600000,	0.000172
28.700000,	0.000047
28.800000,	0.000078
28.900000,	0.000063
29.000000,	0.000078
29.100000,	0.000094
29.200000,	0.000109
29.300000,	0.000125
29.400000,	0.000063
29.500000,	0.000078
29.600000,	0.000047
29.700000,	0.000141
29.800000,	0.000078
29.900000,	0.000156
30.000000,	0.000141
30.100000,	0.000125
30.200000,	0.000188
30.300000,	0.000063
30.400000,	0.000063
30.500000,	0.000125
30.600000,	0.000156
30.700000,	0.000156
30.800000,	0.000109
30.900000,	0.000094
