dbW,	Pfa
-30.000000,	0.000125
-29.900000,	0.000063
-29.800000,	0.000125
-29.700000,	0.000156
-29.600000,	0.000031
-29.500000,	0.000156
-29.400000,	0.000063
-29.300000,	0.000094
-29.200000,	0.000063
-29.100000,	0.000125
-29.000000,	0.000094
-28.900000,	0.000188
-28.800000,	0.000063
-28.700000,	0.000125
-28.600000,	0.000063
-28.500000,	0.000063
-28.400000,	0.000031
-28.300000,	0.000031
-28.200000,	0.000031
-28.100000,	0.000031
-28.000000,	0.000188
-27.900000,	0.000188
-27.800000,	0.000094
-27.700000,	0.000156
-27.600000,	0.000125
-27.500000,	0.000094
-27.400000,	0.000156
-27.300000,	0.000063
-27.200000,	0.000156
-27.100000,	0.000125
-27.000000,	0.000094
-26.900000,	0.000094
-26.800000,	0.000188
-26.700000,	0.000156
-26.600000,	0.000219
-26.500000,	0.000063
-26.400000,	0.000250
-26.300000,	0.000031
-26.200000,	0.000094
-26.100000,	0.000125
-26.000000,	0.000063
-25.900000,	0.000000
-25.800000,	0.000094
-25.700000,	0.000125
-25.600000,	0.000156
-25.500000,	0.000094
-25.400000,	0.000188
-25.300000,	0.000156
-25.200000,	0.000188
-25.100000,	0.000063
-25.000000,	0.000125
-24.900000,	0.000031
-24.800000,	0.000063
-24.700000,	0.000063
-24.600000,	0.000063
-24.500000,	0.000125
-24.400000,	0.000125
-24.300000,	0.000031
-24.200000,	0.000000
-24.100000,	0.000156
-24.000000,	0.000063
-23.900000,	0.000063
-23.800000,	0.000156
-23.700000,	0.000125
-23.600000,	0.000125
-23.500000,	0.000125
-23.400000,	0.000000
-23.300000,	0.000063
-23.200000,	0.000188
-23.100000,	0.000094
-23.000000,	0.000094
-22.900000,	0.000094
-22.800000,	0.000063
-22.700000,	0.000000
-22.600000,	0.000094
-22.500000,	0.000031
-22.400000,	0.000125
-22.300000,	0.000156
-22.200000,	0.000063
-22.100000,	0.000031
-22.000000,	0.000063
-21.900000,	0.000063
-21.800000,	0.000094
-21.700000,	0.000094
-21.600000,	0.000031
-21.500000,	0.000094
-21.400000,	0.000125
-21.300000,	0.000063
-21.200000,	0.000156
-21.100000,	0.000125
-21.000000,	0.000156
-20.900000,	0.000031
-20.800000,	0.000156
-20.700000,	0.000000
-20.600000,	0.000063
-20.500000,	0.000125
-20.400000,	0.000125
-20.300000,	0.000094
-20.200000,	0.000063
-20.100000,	0.000094
-20.000000,	0.000094
-19.900000,	0.000063
-19.800000,	0.000063
-19.700000,	0.000063
-19.600000,	0.000125
-19.500000,	0.000031
-19.400000,	0.000063
-19.300000,	0.000188
-19.200000,	0.000156
-19.100000,	0.000094
-19.000000,	0.000063
-18.900000,	0.000125
-18.800000,	0.000156
-18.700000,	0.000188
-18.600000,	0.000063
-18.500000,	0.000094
-18.400000,	0.000125
-18.300000,	0.000125
-18.200000,	0.000125
-18.100000,	0.000125
-18.000000,	0.000063
-17.900000,	0.000094
-17.800000,	0.000188
-17.700000,	0.000125
-17.600000,	0.000031
-17.500000,	0.000094
-17.400000,	0.000125
-17.300000,	0.000156
-17.200000,	0.000156
-17.100000,	0.000250
-17.000000,	0.000125
-16.900000,	0.000094
-16.800000,	0.000031
-16.700000,	0.000219
-16.600000,	0.000031
-16.500000,	0.000094
-16.400000,	0.000125
-16.300000,	0.000125
-16.200000,	0.000000
-16.100000,	0.000031
-16.000000,	0.000125
-15.900000,	0.000063
-15.800000,	0.000063
-15.700000,	0.000094
-15.600000,	0.000000
-15.500000,	0.000125
-15.400000,	0.000125
-15.300000,	0.000063
-15.200000,	0.000063
-15.100000,	0.000031
-15.000000,	0.000063
-14.900000,	0.000156
-14.800000,	0.000094
-14.700000,	0.000156
-14.600000,	0.000094
-14.500000,	0.000094
-14.400000,	0.000031
-14.300000,	0.000156
-14.200000,	0.000188
-14.100000,	0.000063
-14.000000,	0.000094
-13.900000,	0.000063
-13.800000,	0.000156
-13.700000,	0.000063
-13.600000,	0.000094
-13.500000,	0.000000
-13.400000,	0.000063
-13.300000,	0.000063
-13.200000,	0.000063
-13.100000,	0.000031
-13.000000,	0.000156
-12.900000,	0.000063
-12.800000,	0.000188
-12.700000,	0.000063
-12.600000,	0.000031
-12.500000,	0.000125
-12.400000,	0.000125
-12.300000,	0.000156
-12.200000,	0.000125
-12.100000,	0.000219
-12.000000,	0.000000
-11.900000,	0.000094
-11.800000,	0.000188
-11.700000,	0.000063
-11.600000,	0.000156
-11.500000,	0.000094
-11.400000,	0.000063
-11.300000,	0.000125
-11.200000,	0.000031
-11.100000,	0.000125
-11.000000,	0.000125
-10.900000,	0.000031
-10.800000,	0.000000
-10.700000,	0.000031
-10.600000,	0.000094
-10.500000,	0.000063
-10.400000,	0.000094
-10.300000,	0.000094
-10.200000,	0.000219
-10.100000,	0.000063
-10.000000,	0.000156
-9.900000,	0.000156
-9.800000,	0.000000
-9.700000,	0.000125
-9.600000,	0.000063
-9.500000,	0.000156
-9.400000,	0.000031
-9.300000,	0.000094
-9.200000,	0.000063
-9.100000,	0.000188
-9.000000,	0.000188
-8.900000,	0.000063
-8.800000,	0.000125
-8.700000,	0.000063
-8.600000,	0.000031
-8.500000,	0.000063
-8.400000,	0.000281
-8.300000,	0.000125
-8.200000,	0.000031
-8.100000,	0.000156
-8.000000,	0.000094
-7.900000,	0.000094
-7.800000,	0.000125
-7.700000,	0.000094
-7.600000,	0.000063
-7.500000,	0.000188
-7.400000,	0.000156
-7.300000,	0.000063
-7.200000,	0.000063
-7.100000,	0.000031
-7.000000,	0.000125
-6.900000,	0.000219
-6.800000,	0.000063
-6.700000,	0.000125
-6.600000,	0.000063
-6.500000,	0.000031
-6.400000,	0.000094
-6.300000,	0.000063
-6.200000,	0.000219
-6.100000,	0.000094
-6.000000,	0.000156
-5.900000,	0.000063
-5.800000,	0.000094
-5.700000,	0.000188
-5.600000,	0.000094
-5.500000,	0.000094
-5.400000,	0.000125
-5.300000,	0.000063
-5.200000,	0.000094
-5.100000,	0.000125
-5.000000,	0.000313
-4.900000,	0.000063
-4.800000,	0.000125
-4.700000,	0.000188
-4.600000,	0.000094
-4.500000,	0.000094
-4.400000,	0.000125
-4.300000,	0.000313
-4.200000,	0.000094
-4.100000,	0.000188
-4.000000,	0.000031
-3.900000,	0.000188
-3.800000,	0.000063
-3.700000,	0.000094
-3.600000,	0.000031
-3.500000,	0.000063
-3.400000,	0.000063
-3.300000,	0.000031
-3.200000,	0.000219
-3.100000,	0.000125
-3.000000,	0.000094
-2.900000,	0.000063
-2.800000,	0.000125
-2.700000,	0.000156
-2.600000,	0.000000
-2.500000,	0.000156
-2.400000,	0.000031
-2.300000,	0.000000
-2.200000,	0.000063
-2.100000,	0.000063
-2.000000,	0.000125
-1.900000,	0.000094
-1.800000,	0.000031
-1.700000,	0.000125
-1.600000,	0.000156
-1.500000,	0.000031
-1.400000,	0.000063
-1.300000,	0.000094
-1.200000,	0.000125
-1.100000,	0.000031
-1.000000,	0.000125
-0.900000,	0.000156
-0.800000,	0.000094
-0.700000,	0.000125
-0.600000,	0.000250
-0.500000,	0.000063
-0.400000,	0.000125
-0.300000,	0.000063
-0.200000,	0.000125
-0.100000,	0.000094
0.000000,	0.000094
0.100000,	0.000063
0.200000,	0.000094
0.300000,	0.000063
0.400000,	0.000219
0.500000,	0.000031
0.600000,	0.000094
0.700000,	0.000094
0.800000,	0.000156
0.900000,	0.000031
1.000000,	0.000063
1.100000,	0.000125
1.200000,	0.000063
1.300000,	0.000063
1.400000,	0.000094
1.500000,	0.000125
1.600000,	0.000219
1.700000,	0.000125
1.800000,	0.000219
1.900000,	0.000125
2.000000,	0.000156
2.100000,	0.000250
2.200000,	0.000063
2.300000,	0.000094
2.400000,	0.000156
2.500000,	0.000031
2.600000,	0.000156
2.700000,	0.000250
2.800000,	0.000063
2.900000,	0.000063
3.000000,	0.000063
3.100000,	0.000125
3.200000,	0.000094
3.300000,	0.000063
3.400000,	0.000094
3.500000,	0.000188
3.600000,	0.000156
3.700000,	0.000281
3.800000,	0.000125
3.900000,	0.000188
4.000000,	0.000125
4.100000,	0.000000
4.200000,	0.000031
4.300000,	0.000063
4.400000,	0.000063
4.500000,	0.000094
4.600000,	0.000063
4.700000,	0.000063
4.800000,	0.000125
4.900000,	0.000125
5.000000,	0.000031
5.100000,	0.000031
5.200000,	0.000125
5.300000,	0.000094
5.400000,	0.000125
5.500000,	0.000125
5.600000,	0.000094
5.700000,	0.000125
5.800000,	0.000031
5.900000,	0.000219
6.000000,	0.000125
6.100000,	0.000156
6.200000,	0.000219
6.300000,	0.000125
6.400000,	0.000031
6.500000,	0.000125
6.600000,	0.000219
6.700000,	0.000094
6.800000,	0.000156
6.900000,	0.000219
7.000000,	0.000063
7.100000,	0.000063
7.200000,	0.000063
7.300000,	0.000094
7.400000,	0.000063
7.500000,	0.000031
7.600000,	0.000031
7.700000,	0.000031
7.800000,	0.000031
7.900000,	0.000156
8.000000,	0.000094
8.100000,	0.000094
8.200000,	0.000031
8.300000,	0.000125
8.400000,	0.000094
8.500000,	0.000063
8.600000,	0.000063
8.700000,	0.000063
8.800000,	0.000156
8.900000,	0.000156
9.000000,	0.000219
9.100000,	0.000094
9.200000,	0.000094
9.300000,	0.000063
9.400000,	0.000094
9.500000,	0.000063
9.600000,	0.000094
9.700000,	0.000063
9.800000,	0.000125
9.900000,	0.000094
10.000000,	0.000031
10.100000,	0.000000
10.200000,	0.000063
10.300000,	0.000063
10.400000,	0.000156
10.500000,	0.000219
10.600000,	0.000125
10.700000,	0.000031
10.800000,	0.000188
10.900000,	0.000156
11.000000,	0.000063
11.100000,	0.000031
11.200000,	0.000125
11.300000,	0.000063
11.400000,	0.000219
11.500000,	0.000063
11.600000,	0.000094
11.700000,	0.000063
11.800000,	0.000125
11.900000,	0.000031
12.000000,	0.000125
12.100000,	0.000063
12.200000,	0.000094
12.300000,	0.000094
12.400000,	0.000031
12.500000,	0.000094
12.600000,	0.000031
12.700000,	0.000094
12.800000,	0.000094
12.900000,	0.000125
13.000000,	0.000094
13.100000,	0.000156
13.200000,	0.000219
13.300000,	0.000063
13.400000,	0.000125
13.500000,	0.000125
13.600000,	0.000031
13.700000,	0.000125
13.800000,	0.000219
13.900000,	0.000063
14.000000,	0.000125
14.100000,	0.000094
14.200000,	0.000125
14.300000,	0.000063
14.400000,	0.000094
14.500000,	0.000094
14.600000,	0.000063
14.700000,	0.000063
14.800000,	0.000031
14.900000,	0.000125
15.000000,	0.000125
15.100000,	0.000188
15.200000,	0.000156
15.300000,	0.000125
15.400000,	0.000219
15.500000,	0.000031
15.600000,	0.000031
15.700000,	0.000281
15.800000,	0.000031
15.900000,	0.000094
16.000000,	0.000156
16.100000,	0.000094
16.200000,	0.000125
16.300000,	0.000063
16.400000,	0.000156
16.500000,	0.000125
16.600000,	0.000188
16.700000,	0.000063
16.800000,	0.000094
16.900000,	0.000188
17.000000,	0.000250
17.100000,	0.000031
17.200000,	0.000000
17.300000,	0.000031
17.400000,	0.000156
17.500000,	0.000063
17.600000,	0.000031
17.700000,	0.000031
17.800000,	0.000125
17.900000,	0.000125
18.000000,	0.000125
18.100000,	0.000219
18.200000,	0.000094
18.300000,	0.000156
18.400000,	0.000094
18.500000,	0.000000
18.600000,	0.000250
18.700000,	0.000125
18.800000,	0.000094
18.900000,	0.000125
19.000000,	0.000031
19.100000,	0.000250
19.200000,	0.000125
19.300000,	0.000094
19.400000,	0.000188
19.500000,	0.000063
19.600000,	0.000219
19.700000,	0.000125
19.800000,	0.000031
19.900000,	0.000000
20.000000,	0.000031
20.100000,	0.000063
20.200000,	0.000156
20.300000,	0.000125
20.400000,	0.000125
20.500000,	0.000125
20.600000,	0.000031
20.700000,	0.000156
20.800000,	0.000125
20.900000,	0.000094
21.000000,	0.000031
21.100000,	0.000125
21.200000,	0.000156
21.300000,	0.000031
21.400000,	0.000125
21.500000,	0.000094
21.600000,	0.000031
21.700000,	0.000125
21.800000,	0.000125
