snr,	Pd
-3.400000,	0.002875
-3.300000,	0.002625
-3.200000,	0.002750
-3.100000,	0.003125
-3.000000,	0.003000
-2.900000,	0.002625
-2.800000,	0.003875
-2.700000,	0.003125
-2.600000,	0.002500
-2.500000,	0.002750
-2.400000,	0.002750
-2.300000,	0.002750
-2.200000,	0.002750
-2.100000,	0.002250
-2.000000,	0.002750
-1.900000,	0.002375
-1.800000,	0.002250
-1.700000,	0.002625
-1.600000,	0.002000
-1.500000,	0.003250
-1.400000,	0.002500
-1.300000,	0.002875
-1.200000,	0.002375
-1.100000,	0.003500
-1.000000,	0.001750
-0.900000,	0.003125
-0.800000,	0.002000
-0.700000,	0.003375
-0.600000,	0.002625
-0.500000,	0.002875
-0.400000,	0.002500
-0.300000,	0.002875
-0.200000,	0.002000
-0.100000,	0.002375
0.000000,	0.003250
0.100000,	0.002250
0.200000,	0.001750
0.300000,	0.002500
0.400000,	0.003625
0.500000,	0.002375
0.600000,	0.003750
0.700000,	0.001750
0.800000,	0.002500
0.900000,	0.003125
1.000000,	0.002750
1.100000,	0.002125
1.200000,	0.002000
1.300000,	0.003000
1.400000,	0.002375
1.500000,	0.001750
1.600000,	0.004250
1.700000,	0.003000
1.800000,	0.003500
1.900000,	0.002250
2.000000,	0.002750
2.100000,	0.002625
2.200000,	0.002375
2.300000,	0.002000
2.400000,	0.003125
2.500000,	0.002875
2.600000,	0.003875
2.700000,	0.002125
2.800000,	0.002875
2.900000,	0.002250
3.000000,	0.002250
3.100000,	0.002500
3.200000,	0.002375
3.300000,	0.002500
3.400000,	0.003125
3.500000,	0.002250
3.600000,	0.002875
3.700000,	0.002000
3.800000,	0.003000
3.900000,	0.001875
4.000000,	0.001875
4.100000,	0.002000
4.200000,	0.003750
4.300000,	0.002000
4.400000,	0.002875
4.500000,	0.002500
4.600000,	0.003125
4.700000,	0.002500
4.800000,	0.002875
4.900000,	0.001875
5.000000,	0.002250
5.100000,	0.002375
5.200000,	0.002375
5.300000,	0.001875
5.400000,	0.002250
5.500000,	0.002625
5.600000,	0.003000
5.700000,	0.003500
5.800000,	0.002500
5.900000,	0.002125
6.000000,	0.003750
6.100000,	0.002375
6.200000,	0.001875
6.300000,	0.003125
6.400000,	0.003000
6.500000,	0.002375
6.600000,	0.003500
6.700000,	0.002625
6.800000,	0.002000
6.900000,	0.002250
7.000000,	0.002250
7.100000,	0.002625
7.200000,	0.003375
7.300000,	0.002125
7.400000,	0.003625
7.500000,	0.003375
7.600000,	0.001625
7.700000,	0.002750
7.800000,	0.003125
7.900000,	0.003000
8.000000,	0.002125
8.100000,	0.002250
8.200000,	0.001750
8.300000,	0.001750
8.400000,	0.003750
8.500000,	0.003000
8.600000,	0.002625
8.700000,	0.002375
8.800000,	0.002250
8.900000,	0.001625
9.000000,	0.002125
9.100000,	0.004125
9.200000,	0.002500
9.300000,	0.002625
9.400000,	0.002625
9.500000,	0.002000
9.600000,	0.002250
9.700000,	0.002125
9.800000,	0.003250
9.900000,	0.001750
10.000000,	0.002250
10.100000,	0.002500
10.200000,	0.003000
10.300000,	0.001750
10.400000,	0.002875
10.500000,	0.002250
10.600000,	0.003375
10.700000,	0.002125
10.800000,	0.002375
10.900000,	0.003375
11.000000,	0.001875
11.100000,	0.001875
11.200000,	0.001750
11.300000,	0.001750
11.400000,	0.003500
11.500000,	0.003000
11.600000,	0.002750
11.700000,	0.002250
11.800000,	0.001250
11.900000,	0.002875
12.000000,	0.003625
12.100000,	0.002625
12.200000,	0.002625
12.300000,	0.001125
12.400000,	0.002375
12.500000,	0.002625
12.600000,	0.001875
12.700000,	0.002250
12.800000,	0.002750
12.900000,	0.001750
13.000000,	0.002500
13.100000,	0.004125
13.200000,	0.002000
13.300000,	0.002125
13.400000,	0.002000
13.500000,	0.002250
13.600000,	0.002500
13.700000,	0.001875
13.800000,	0.002500
13.900000,	0.002000
14.000000,	0.002625
14.100000,	0.003000
14.200000,	0.003125
14.300000,	0.002875
14.400000,	0.002875
14.500000,	0.003250
14.600000,	0.003500
14.700000,	0.001125
14.800000,	0.001500
14.900000,	0.002000
15.000000,	0.002250
15.100000,	0.003000
15.200000,	0.001875
15.300000,	0.001750
15.400000,	0.003375
15.500000,	0.002625
15.600000,	0.003625
15.700000,	0.002125
15.800000,	0.002000
15.900000,	0.002500
16.000000,	0.001750
16.100000,	0.001750
16.200000,	0.002375
16.300000,	0.003500
16.400000,	0.003000
16.500000,	0.002750
16.600000,	0.003375
16.700000,	0.003500
16.800000,	0.002750
16.900000,	0.003125
17.000000,	0.002000
17.100000,	0.002875
17.200000,	0.002375
17.300000,	0.003750
17.400000,	0.002000
17.500000,	0.002625
17.600000,	0.002750
17.700000,	0.002125
17.800000,	0.002250
17.900000,	0.002250
18.000000,	0.001750
18.100000,	0.003250
18.200000,	0.002625
18.300000,	0.002375
18.400000,	0.003125
18.500000,	0.003375
18.600000,	0.002000
18.700000,	0.001875
18.800000,	0.002250
18.900000,	0.001625
19.000000,	0.002375
19.100000,	0.002250
19.200000,	0.003125
19.300000,	0.002625
19.400000,	0.003000
19.500000,	0.002250
19.600000,	0.002750
19.700000,	0.002375
19.800000,	0.002500
19.900000,	0.003375
20.000000,	0.002750
20.100000,	0.002625
20.200000,	0.002250
20.300000,	0.002750
20.400000,	0.003250
20.500000,	0.002625
20.600000,	0.002250
20.700000,	0.003000
20.800000,	0.002625
20.900000,	0.002375
21.000000,	0.002375
21.100000,	0.002250
21.200000,	0.002375
21.300000,	0.003500
21.400000,	0.002750
21.500000,	0.003000
21.600000,	0.001500
21.700000,	0.002000
21.800000,	0.001625
21.900000,	0.003500
22.000000,	0.002500
22.100000,	0.003375
22.200000,	0.001375
22.300000,	0.002500
22.400000,	0.001750
22.500000,	0.003500
22.600000,	0.001625
22.700000,	0.002625
22.800000,	0.002625
22.900000,	0.002625
23.000000,	0.001875
23.100000,	0.003000
23.200000,	0.002750
23.300000,	0.001875
23.400000,	0.003625
23.500000,	0.002500
23.600000,	0.003000
23.700000,	0.003500
23.800000,	0.002500
23.900000,	0.002500
24.000000,	0.003375
24.100000,	0.002125
24.200000,	0.003250
24.300000,	0.002625
24.400000,	0.003000
24.500000,	0.002250
24.600000,	0.003000
24.700000,	0.002500
24.800000,	0.002125
24.900000,	0.002500
25.000000,	0.001250
25.100000,	0.002500
25.200000,	0.003500
25.300000,	0.002625
25.400000,	0.003000
25.500000,	0.002250
25.600000,	0.002375
25.700000,	0.002125
25.800000,	0.003250
25.900000,	0.003000
26.000000,	0.002125
26.100000,	0.003125
26.200000,	0.002875
26.300000,	0.002750
26.400000,	0.003375
26.500000,	0.001625
26.600000,	0.002375
26.700000,	0.002625
26.800000,	0.003125
26.900000,	0.002875
27.000000,	0.002000
27.100000,	0.002625
27.200000,	0.003000
27.300000,	0.002625
27.400000,	0.003875
27.500000,	0.002250
27.600000,	0.002500
27.700000,	0.002500
27.800000,	0.002875
27.900000,	0.002375
28.000000,	0.002500
28.100000,	0.003000
28.200000,	0.002625
28.300000,	0.001875
28.400000,	0.001875
28.500000,	0.002500
28.600000,	0.002625
28.700000,	0.002375
28.800000,	0.002000
28.900000,	0.002250
29.000000,	0.001375
29.100000,	0.003625
29.200000,	0.003125
29.300000,	0.002375
29.400000,	0.002500
29.500000,	0.001875
29.600000,	0.003250
29.700000,	0.003000
29.800000,	0.003125
29.900000,	0.002000
30.000000,	0.002875
30.100000,	0.002125
30.200000,	0.003000
30.300000,	0.002125
30.400000,	0.001750
30.500000,	0.002875
30.600000,	0.001625
30.700000,	0.002250
30.800000,	0.002250
30.900000,	0.001625
