snr,	Pd
-30.000000,	0.000000
-29.900000,	0.000375
-29.800000,	0.000375
-29.700000,	0.000375
-29.600000,	0.000125
-29.500000,	0.000250
-29.400000,	0.000125
-29.300000,	0.000375
-29.200000,	0.000250
-29.100000,	0.000250
-29.000000,	0.000000
-28.900000,	0.000000
-28.800000,	0.000375
-28.700000,	0.000250
-28.600000,	0.000125
-28.500000,	0.000500
-28.400000,	0.000250
-28.300000,	0.000375
-28.200000,	0.000125
-28.100000,	0.000250
-28.000000,	0.000000
-27.900000,	0.000375
-27.800000,	0.000125
-27.700000,	0.000125
-27.600000,	0.000500
-27.500000,	0.000250
-27.400000,	0.000250
-27.300000,	0.000250
-27.200000,	0.000250
-27.100000,	0.000250
-27.000000,	0.000250
-26.900000,	0.000250
-26.800000,	0.000250
-26.700000,	0.000125
-26.600000,	0.000375
-26.500000,	0.000000
-26.400000,	0.000000
-26.300000,	0.000250
-26.200000,	0.000500
-26.100000,	0.000000
-26.000000,	0.000375
-25.900000,	0.000500
-25.800000,	0.000500
-25.700000,	0.000500
-25.600000,	0.000250
-25.500000,	0.000625
-25.400000,	0.000625
-25.300000,	0.000375
-25.200000,	0.000750
-25.100000,	0.000625
-25.000000,	0.000375
-24.900000,	0.000125
-24.800000,	0.000750
-24.700000,	0.000500
-24.600000,	0.000875
-24.500000,	0.000625
-24.400000,	0.000750
-24.300000,	0.001000
-24.200000,	0.000625
-24.100000,	0.001000
-24.000000,	0.000875
-23.900000,	0.000875
-23.800000,	0.001000
-23.700000,	0.000625
-23.600000,	0.001000
-23.500000,	0.001125
-23.400000,	0.000750
-23.300000,	0.000500
-23.200000,	0.001250
-23.100000,	0.001000
-23.000000,	0.001000
-22.900000,	0.000875
-22.800000,	0.002125
-22.700000,	0.001750
-22.600000,	0.001375
-22.500000,	0.002125
-22.400000,	0.001125
-22.300000,	0.001750
-22.200000,	0.001750
-22.100000,	0.001500
-22.000000,	0.002250
-21.900000,	0.002875
-21.800000,	0.002500
-21.700000,	0.002875
-21.600000,	0.002625
-21.500000,	0.002375
-21.400000,	0.002875
-21.300000,	0.004250
-21.200000,	0.004625
-21.100000,	0.002625
-21.000000,	0.002875
-20.900000,	0.003375
-20.800000,	0.004125
-20.700000,	0.004250
-20.600000,	0.004625
-20.500000,	0.003750
-20.400000,	0.004625
-20.300000,	0.004750
-20.200000,	0.007125
-20.100000,	0.007500
-20.000000,	0.006000
-19.900000,	0.006875
-19.800000,	0.006375
-19.700000,	0.009750
-19.600000,	0.008875
-19.500000,	0.009125
-19.400000,	0.010250
-19.300000,	0.012625
-19.200000,	0.012875
-19.100000,	0.014500
-19.000000,	0.012500
-18.900000,	0.016125
-18.800000,	0.015375
-18.700000,	0.018000
-18.600000,	0.019875
-18.500000,	0.021500
-18.400000,	0.021625
-18.300000,	0.022500
-18.200000,	0.025375
-18.100000,	0.026250
-18.000000,	0.033000
-17.900000,	0.031875
-17.800000,	0.036625
-17.700000,	0.036000
-17.600000,	0.038375
-17.500000,	0.046500
-17.400000,	0.044500
-17.300000,	0.048875
-17.200000,	0.050500
-17.100000,	0.057625
-17.000000,	0.062625
-16.900000,	0.063750
-16.800000,	0.070375
-16.700000,	0.080000
-16.600000,	0.084250
-16.500000,	0.089250
-16.400000,	0.096500
-16.300000,	0.106125
-16.200000,	0.112375
-16.100000,	0.124375
-16.000000,	0.127375
-15.900000,	0.137750
-15.800000,	0.157500
-15.700000,	0.156875
-15.600000,	0.175000
-15.500000,	0.185000
-15.400000,	0.191125
-15.300000,	0.210375
-15.200000,	0.219625
-15.100000,	0.236125
-15.000000,	0.246375
-14.900000,	0.268875
-14.800000,	0.272000
-14.700000,	0.307250
-14.600000,	0.318500
-14.500000,	0.330500
-14.400000,	0.358125
-14.300000,	0.364750
-14.200000,	0.383750
-14.100000,	0.404750
-14.000000,	0.410625
-13.900000,	0.441750
-13.800000,	0.460625
-13.700000,	0.481500
-13.600000,	0.493750
-13.500000,	0.520750
-13.400000,	0.535000
-13.300000,	0.557750
-13.200000,	0.579875
-13.100000,	0.596750
-13.000000,	0.605250
-12.900000,	0.629125
-12.800000,	0.649875
-12.700000,	0.666000
-12.600000,	0.677750
-12.500000,	0.699000
-12.400000,	0.707500
-12.300000,	0.724250
-12.200000,	0.737125
-12.100000,	0.753125
-12.000000,	0.771375
-11.900000,	0.778875
-11.800000,	0.786500
-11.700000,	0.808375
-11.600000,	0.817250
-11.500000,	0.832375
-11.400000,	0.840625
-11.300000,	0.852250
-11.200000,	0.854250
-11.100000,	0.869000
-11.000000,	0.879375
-10.900000,	0.889375
-10.800000,	0.896125
-10.700000,	0.907500
-10.600000,	0.910750
-10.500000,	0.919250
-10.400000,	0.928500
-10.300000,	0.935500
-10.200000,	0.943750
-10.100000,	0.949875
-10.000000,	0.950875
-9.900000,	0.957250
-9.800000,	0.964000
-9.700000,	0.966250
-9.600000,	0.970500
-9.500000,	0.973125
-9.400000,	0.977500
-9.300000,	0.979875
-9.200000,	0.985375
-9.100000,	0.985125
-9.000000,	0.989625
-8.900000,	0.990375
-8.800000,	0.990750
-8.700000,	0.994250
-8.600000,	0.995250
-8.500000,	0.995250
-8.400000,	0.996000
-8.300000,	0.997125
-8.200000,	0.998750
-8.100000,	0.998500
-8.000000,	0.999250
-7.900000,	0.999375
-7.800000,	0.999625
-7.700000,	0.999500
-7.600000,	0.999875
-7.500000,	0.999875
-7.400000,	0.999750
-7.300000,	0.999750
-7.200000,	1.000000
-7.100000,	1.000000
-7.000000,	0.999875
-6.900000,	1.000000
-6.800000,	1.000000
-6.700000,	1.000000
-6.600000,	1.000000
-6.500000,	1.000000
-6.400000,	1.000000
-6.300000,	1.000000
-6.200000,	1.000000
-6.100000,	1.000000
-6.000000,	1.000000
-5.900000,	1.000000
-5.800000,	1.000000
-5.700000,	1.000000
-5.600000,	1.000000
-5.500000,	1.000000
-5.400000,	1.000000
-5.300000,	1.000000
-5.200000,	1.000000
-5.100000,	1.000000
-5.000000,	1.000000
-4.900000,	1.000000
-4.800000,	1.000000
-4.700000,	1.000000
-4.600000,	1.000000
-4.500000,	1.000000
-4.400000,	1.000000
-4.300000,	1.000000
-4.200000,	1.000000
-4.100000,	1.000000
-4.000000,	1.000000
-3.900000,	1.000000
-3.800000,	1.000000
-3.700000,	1.000000
-3.600000,	1.000000
-3.500000,	1.000000
-3.400000,	1.000000
-3.300000,	1.000000
-3.200000,	1.000000
-3.100000,	1.000000
-3.000000,	1.000000
-2.900000,	1.000000
-2.800000,	1.000000
-2.700000,	1.000000
-2.600000,	1.000000
-2.500000,	1.000000
-2.400000,	1.000000
-2.300000,	1.000000
-2.200000,	1.000000
-2.100000,	1.000000
-2.000000,	1.000000
-1.900000,	1.000000
-1.800000,	1.000000
-1.700000,	1.000000
-1.600000,	1.000000
-1.500000,	1.000000
-1.400000,	1.000000
-1.300000,	1.000000
-1.200000,	1.000000
-1.100000,	1.000000
-1.000000,	1.000000
-0.900000,	1.000000
-0.800000,	1.000000
-0.700000,	1.000000
-0.600000,	1.000000
-0.500000,	1.000000
-0.400000,	1.000000
-0.300000,	1.000000
-0.200000,	1.000000
-0.100000,	1.000000
0.000000,	1.000000
0.100000,	1.000000
0.200000,	1.000000
0.300000,	1.000000
0.400000,	1.000000
0.500000,	1.000000
0.600000,	1.000000
0.700000,	1.000000
