snr,	Pd
-30.000000,	0.000111
-29.900000,	0.000111
-29.800000,	0.000111
-29.700000,	0.000111
-29.600000,	0.000000
-29.500000,	0.000222
-29.400000,	0.000111
-29.300000,	0.000111
-29.200000,	0.000222
-29.100000,	0.000444
-29.000000,	0.000111
-28.900000,	0.000000
-28.800000,	0.000222
-28.700000,	0.000222
-28.600000,	0.000000
-28.500000,	0.000111
-28.400000,	0.000111
-28.300000,	0.000111
-28.200000,	0.000111
-28.100000,	0.000222
-28.000000,	0.000222
-27.900000,	0.000111
-27.800000,	0.000111
-27.700000,	0.000222
-27.600000,	0.000111
-27.500000,	0.000111
-27.400000,	0.000111
-27.300000,	0.000111
-27.200000,	0.000111
-27.100000,	0.000111
-27.000000,	0.000000
-26.900000,	0.000333
-26.800000,	0.000000
-26.700000,	0.000111
-26.600000,	0.000111
-26.500000,	0.000000
-26.400000,	0.000556
-26.300000,	0.000000
-26.200000,	0.000333
-26.100000,	0.000222
-26.000000,	0.000111
-25.900000,	0.000333
-25.800000,	0.000000
-25.700000,	0.000111
-25.600000,	0.000333
-25.500000,	0.000000
-25.400000,	0.000111
-25.300000,	0.000222
-25.200000,	0.000222
-25.100000,	0.000000
-25.000000,	0.000000
-24.900000,	0.000000
-24.800000,	0.000222
-24.700000,	0.000444
-24.600000,	0.000111
-24.500000,	0.000111
-24.400000,	0.000222
-24.300000,	0.000222
-24.200000,	0.000000
-24.100000,	0.000111
-24.000000,	0.000222
-23.900000,	0.000444
-23.800000,	0.000333
-23.700000,	0.000111
-23.600000,	0.000222
-23.500000,	0.000222
-23.400000,	0.000556
-23.300000,	0.000444
-23.200000,	0.000111
-23.100000,	0.000111
-23.000000,	0.000111
-22.900000,	0.000111
-22.800000,	0.000333
-22.700000,	0.000667
-22.600000,	0.000222
-22.500000,	0.000222
-22.400000,	0.000222
-22.300000,	0.000111
-22.200000,	0.000667
-22.100000,	0.000444
-22.000000,	0.000222
-21.900000,	0.000333
-21.800000,	0.000444
-21.700000,	0.000333
-21.600000,	0.000889
-21.500000,	0.000222
-21.400000,	0.000889
-21.300000,	0.000889
-21.200000,	0.001222
-21.100000,	0.000333
-21.000000,	0.001000
-20.900000,	0.000222
-20.800000,	0.000333
-20.700000,	0.000222
-20.600000,	0.000444
-20.500000,	0.000556
-20.400000,	0.000778
-20.300000,	0.001000
-20.200000,	0.000889
-20.100000,	0.001111
-20.000000,	0.001222
-19.900000,	0.000778
-19.800000,	0.001333
-19.700000,	0.000444
-19.600000,	0.001000
-19.500000,	0.000778
-19.400000,	0.001000
-19.300000,	0.001000
-19.200000,	0.001444
-19.100000,	0.001556
-19.000000,	0.001778
-18.900000,	0.001778
-18.800000,	0.001667
-18.700000,	0.001333
-18.600000,	0.001444
-18.500000,	0.001889
-18.400000,	0.001667
-18.300000,	0.002222
-18.200000,	0.002778
-18.100000,	0.002667
-18.000000,	0.001778
-17.900000,	0.002444
-17.800000,	0.003889
-17.700000,	0.002222
-17.600000,	0.002889
-17.500000,	0.003667
-17.400000,	0.004333
-17.300000,	0.004333
-17.200000,	0.005000
-17.100000,	0.005000
-17.000000,	0.004667
-16.900000,	0.005556
-16.800000,	0.005556
-16.700000,	0.007000
-16.600000,	0.006556
-16.500000,	0.007333
-16.400000,	0.006556
-16.300000,	0.007778
-16.200000,	0.008889
-16.100000,	0.008333
-16.000000,	0.009444
-15.900000,	0.009444
-15.800000,	0.011778
-15.700000,	0.012111
-15.600000,	0.014444
-15.500000,	0.014111
-15.400000,	0.015333
-15.300000,	0.014444
-15.200000,	0.016889
-15.100000,	0.019444
-15.000000,	0.017222
-14.900000,	0.022444
-14.800000,	0.025778
-14.700000,	0.026556
-14.600000,	0.033444
-14.500000,	0.033444
-14.400000,	0.034111
-14.300000,	0.035444
-14.200000,	0.034778
-14.100000,	0.041778
-14.000000,	0.042667
-13.900000,	0.047889
-13.800000,	0.051778
-13.700000,	0.052000
-13.600000,	0.060778
-13.500000,	0.061333
-13.400000,	0.070444
-13.300000,	0.071778
-13.200000,	0.080444
-13.100000,	0.087000
-13.000000,	0.092556
-12.900000,	0.100333
-12.800000,	0.112889
-12.700000,	0.119556
-12.600000,	0.120111
-12.500000,	0.134333
-12.400000,	0.142778
-12.300000,	0.149333
-12.200000,	0.162000
-12.100000,	0.181000
-12.000000,	0.179333
-11.900000,	0.196778
-11.800000,	0.201222
-11.700000,	0.225333
-11.600000,	0.230222
-11.500000,	0.244444
-11.400000,	0.261444
-11.300000,	0.276111
-11.200000,	0.291000
-11.100000,	0.307111
-11.000000,	0.316556
-10.900000,	0.342222
-10.800000,	0.354333
-10.700000,	0.368000
-10.600000,	0.377222
-10.500000,	0.398667
-10.400000,	0.410778
-10.300000,	0.425000
-10.200000,	0.444333
-10.100000,	0.456889
-10.000000,	0.467889
-9.900000,	0.477111
-9.800000,	0.493111
-9.700000,	0.506778
-9.600000,	0.516444
-9.500000,	0.524667
-9.400000,	0.540556
-9.300000,	0.547111
-9.200000,	0.553778
-9.100000,	0.564556
-9.000000,	0.572778
-8.900000,	0.579889
-8.800000,	0.593000
-8.700000,	0.597556
-8.600000,	0.603333
-8.500000,	0.609222
-8.400000,	0.617889
-8.300000,	0.620889
-8.200000,	0.627111
-8.100000,	0.632444
-8.000000,	0.633556
-7.900000,	0.639333
-7.800000,	0.642000
