snr,	Pd
-30.000000,	0.000250
-29.900000,	0.000250
-29.800000,	0.000000
-29.700000,	0.000000
-29.600000,	0.000250
-29.500000,	0.000000
-29.400000,	0.000000
-29.300000,	0.000000
-29.200000,	0.000000
-29.100000,	0.000000
-29.000000,	0.000500
-28.900000,	0.000000
-28.800000,	0.000000
-28.700000,	0.000500
-28.600000,	0.000500
-28.500000,	0.000250
-28.400000,	0.000000
-28.300000,	0.000500
-28.200000,	0.000000
-28.100000,	0.000250
-28.000000,	0.000000
-27.900000,	0.000250
-27.800000,	0.000000
-27.700000,	0.000000
-27.600000,	0.000000
-27.500000,	0.000000
-27.400000,	0.000000
-27.300000,	0.000500
-27.200000,	0.000000
-27.100000,	0.000000
-27.000000,	0.000000
-26.900000,	0.000000
-26.800000,	0.000000
-26.700000,	0.000500
-26.600000,	0.000000
-26.500000,	0.000500
-26.400000,	0.000250
-26.300000,	0.000250
-26.200000,	0.000500
-26.100000,	0.000000
-26.000000,	0.000000
-25.900000,	0.000250
-25.800000,	0.000250
-25.700000,	0.000000
-25.600000,	0.000250
-25.500000,	0.000000
-25.400000,	0.000000
-25.300000,	0.000250
-25.200000,	0.000000
-25.100000,	0.000250
-25.000000,	0.000250
-24.900000,	0.000000
-24.800000,	0.000000
-24.700000,	0.000000
-24.600000,	0.000000
-24.500000,	0.000000
-24.400000,	0.000250
-24.300000,	0.000250
-24.200000,	0.000500
-24.100000,	0.000000
-24.000000,	0.000250
-23.900000,	0.000000
-23.800000,	0.000500
-23.700000,	0.000000
-23.600000,	0.000000
-23.500000,	0.000000
-23.400000,	0.000250
-23.300000,	0.000250
-23.200000,	0.000000
-23.100000,	0.000000
-23.000000,	0.000000
-22.900000,	0.000000
-22.800000,	0.000000
-22.700000,	0.000500
-22.600000,	0.000000
-22.500000,	0.000250
-22.400000,	0.000000
-22.300000,	0.000750
-22.200000,	0.000250
-22.100000,	0.000000
-22.000000,	0.000250
-21.900000,	0.000000
-21.800000,	0.000250
-21.700000,	0.000500
-21.600000,	0.000000
-21.500000,	0.000000
-21.400000,	0.000000
-21.300000,	0.000000
-21.200000,	0.000250
-21.100000,	0.000250
-21.000000,	0.000500
-20.900000,	0.000250
-20.800000,	0.000250
-20.700000,	0.000250
-20.600000,	0.000500
-20.500000,	0.000250
-20.400000,	0.000500
-20.300000,	0.000000
-20.200000,	0.000250
-20.100000,	0.000250
-20.000000,	0.000250
-19.900000,	0.000250
-19.800000,	0.000750
-19.700000,	0.001250
-19.600000,	0.000250
-19.500000,	0.000250
-19.400000,	0.000000
-19.300000,	0.000000
-19.200000,	0.000500
-19.100000,	0.000250
-19.000000,	0.000750
-18.900000,	0.000250
-18.800000,	0.000750
-18.700000,	0.000750
-18.600000,	0.000750
-18.500000,	0.000500
-18.400000,	0.000000
-18.300000,	0.000750
-18.200000,	0.001000
-18.100000,	0.000250
-18.000000,	0.000500
-17.900000,	0.000750
-17.800000,	0.001500
-17.700000,	0.001000
-17.600000,	0.000750
-17.500000,	0.001750
-17.400000,	0.001000
-17.300000,	0.000750
-17.200000,	0.001250
-17.100000,	0.000750
-17.000000,	0.002750
-16.900000,	0.002500
-16.800000,	0.000500
-16.700000,	0.002000
-16.600000,	0.002750
-16.500000,	0.001000
-16.400000,	0.003500
-16.300000,	0.001750
-16.200000,	0.002250
-16.100000,	0.003000
-16.000000,	0.004000
-15.900000,	0.003250
-15.800000,	0.003750
-15.700000,	0.003500
-15.600000,	0.006000
-15.500000,	0.003250
-15.400000,	0.005000
-15.300000,	0.007250
-15.200000,	0.005000
-15.100000,	0.006250
-15.000000,	0.005000
-14.900000,	0.004000
-14.800000,	0.005750
-14.700000,	0.005250
-14.600000,	0.006500
-14.500000,	0.006000
-14.400000,	0.007250
-14.300000,	0.008500
-14.200000,	0.007000
-14.100000,	0.007250
-14.000000,	0.010000
-13.900000,	0.010250
-13.800000,	0.012500
-13.700000,	0.012250
-13.600000,	0.014750
-13.500000,	0.012750
-13.400000,	0.013750
-13.300000,	0.019250
-13.200000,	0.020750
-13.100000,	0.020500
-13.000000,	0.020000
-12.900000,	0.022500
-12.800000,	0.022500
-12.700000,	0.027000
-12.600000,	0.028750
-12.500000,	0.032750
-12.400000,	0.032750
-12.300000,	0.037500
-12.200000,	0.039500
-12.100000,	0.044000
-12.000000,	0.048250
-11.900000,	0.053250
-11.800000,	0.055500
-11.700000,	0.062750
-11.600000,	0.064000
-11.500000,	0.064250
-11.400000,	0.071000
-11.300000,	0.087000
-11.200000,	0.091750
-11.100000,	0.089250
-11.000000,	0.097500
-10.900000,	0.098000
-10.800000,	0.114500
-10.700000,	0.120250
-10.600000,	0.133750
-10.500000,	0.136000
-10.400000,	0.138250
-10.300000,	0.171500
-10.200000,	0.165250
-10.100000,	0.185250
-10.000000,	0.193250
-9.900000,	0.202750
-9.800000,	0.214250
-9.700000,	0.241250
-9.600000,	0.236000
-9.500000,	0.259750
-9.400000,	0.271000
-9.300000,	0.278000
-9.200000,	0.296750
-9.100000,	0.305250
-9.000000,	0.316000
-8.900000,	0.333750
-8.800000,	0.357000
-8.700000,	0.361750
-8.600000,	0.377750
-8.500000,	0.394500
-8.400000,	0.409750
-8.300000,	0.412500
-8.200000,	0.427750
-8.100000,	0.451500
-8.000000,	0.451500
-7.900000,	0.462000
-7.800000,	0.476000
-7.700000,	0.471000
-7.600000,	0.502250
-7.500000,	0.503500
-7.400000,	0.512750
-7.300000,	0.519500
-7.200000,	0.533000
-7.100000,	0.542750
-7.000000,	0.542250
-6.900000,	0.559250
-6.800000,	0.560000
-6.700000,	0.570000
-6.600000,	0.580000
-6.500000,	0.593250
-6.400000,	0.598250
-6.300000,	0.599500
-6.200000,	0.607250
-6.100000,	0.617250
-6.000000,	0.625500
-5.900000,	0.643000
-5.800000,	0.651750
-5.700000,	0.653750
-5.600000,	0.669250
-5.500000,	0.663750
-5.400000,	0.682250
-5.300000,	0.705000
-5.200000,	0.696500
-5.100000,	0.722000
-5.000000,	0.735000
-4.900000,	0.744750
-4.800000,	0.754000
-4.700000,	0.771750
-4.600000,	0.772000
-4.500000,	0.797750
-4.400000,	0.800500
-4.300000,	0.815750
-4.200000,	0.827500
-4.100000,	0.845500
-4.000000,	0.851750
-3.900000,	0.865250
-3.800000,	0.873500
-3.700000,	0.870000
-3.600000,	0.891750
-3.500000,	0.902500
-3.400000,	0.909500
-3.300000,	0.919000
-3.200000,	0.924000
-3.100000,	0.937000
-3.000000,	0.945000
-2.900000,	0.953250
-2.800000,	0.958500
-2.700000,	0.965000
-2.600000,	0.963750
-2.500000,	0.971000
-2.400000,	0.973250
-2.300000,	0.981000
-2.200000,	0.984250
-2.100000,	0.985250
-2.000000,	0.986250
-1.900000,	0.988750
-1.800000,	0.993000
-1.700000,	0.992750
-1.600000,	0.995500
-1.500000,	0.995000
-1.400000,	0.995250
-1.300000,	0.997250
-1.200000,	0.998750
-1.100000,	0.999000
-1.000000,	0.998500
-0.900000,	0.998750
-0.800000,	0.999750
-0.700000,	0.999250
-0.600000,	0.999750
-0.500000,	0.999250
-0.400000,	1.000000
-0.300000,	1.000000
-0.200000,	1.000000
-0.100000,	1.000000
0.000000,	1.000000
0.100000,	1.000000
0.200000,	1.000000
0.300000,	1.000000
0.400000,	1.000000
0.500000,	1.000000
0.600000,	1.000000
0.700000,	1.000000
0.800000,	1.000000
0.900000,	1.000000
1.000000,	1.000000
1.100000,	1.000000
1.200000,	1.000000
1.300000,	1.000000
1.400000,	1.000000
1.500000,	1.000000
1.600000,	1.000000
1.700000,	1.000000
1.800000,	1.000000
1.900000,	1.000000
2.000000,	1.000000
2.100000,	1.000000
2.200000,	1.000000
2.300000,	1.000000
2.400000,	1.000000
2.500000,	1.000000
2.600000,	1.000000
2.700000,	1.000000
2.800000,	1.000000
2.900000,	1.000000
3.000000,	1.000000
3.100000,	1.000000
3.200000,	1.000000
3.300000,	1.000000
3.400000,	1.000000
3.500000,	1.000000
3.600000,	1.000000
3.700000,	1.000000
3.800000,	1.000000
3.900000,	1.000000
4.000000,	1.000000
4.100000,	1.000000
4.200000,	1.000000
4.300000,	1.000000
4.400000,	1.000000
4.500000,	1.000000
4.600000,	1.000000
4.700000,	1.000000
4.800000,	1.000000
4.900000,	1.000000
5.000000,	1.000000
5.100000,	1.000000
5.200000,	1.000000
5.300000,	1.000000
5.400000,	1.000000
5.500000,	1.000000
5.600000,	1.000000
5.700000,	1.000000
5.800000,	1.000000
5.900000,	1.000000
6.000000,	1.000000
6.100000,	1.000000
6.200000,	1.000000
6.300000,	1.000000
6.400000,	1.000000
6.500000,	1.000000
6.600000,	1.000000
6.700000,	1.000000
6.800000,	1.000000
6.900000,	1.000000
7.000000,	1.000000
7.100000,	1.000000
7.200000,	1.000000
7.300000,	1.000000
7.400000,	1.000000
7.500000,	1.000000
7.600000,	1.000000
7.700000,	1.000000
7.800000,	1.000000
7.900000,	1.000000
8.000000,	1.000000
8.100000,	1.000000
8.200000,	1.000000
8.300000,	1.000000
8.400000,	1.000000
8.500000,	1.000000
8.600000,	1.000000
8.700000,	1.000000
8.800000,	1.000000
8.900000,	1.000000
9.000000,	1.000000
9.100000,	1.000000
9.200000,	1.000000
9.300000,	1.000000
9.400000,	1.000000
9.500000,	1.000000
9.600000,	1.000000
9.700000,	1.000000
9.800000,	1.000000
9.900000,	1.000000
10.000000,	1.000000
10.100000,	1.000000
10.200000,	1.000000
10.300000,	1.000000
10.400000,	1.000000
10.500000,	1.000000
10.600000,	1.000000
10.700000,	1.000000
10.800000,	1.000000
10.900000,	1.000000
11.000000,	1.000000
11.100000,	1.000000
11.200000,	1.000000
11.300000,	1.000000
11.400000,	1.000000
11.500000,	1.000000
11.600000,	1.000000
11.700000,	1.000000
11.800000,	1.000000
11.900000,	1.000000
12.000000,	1.000000
12.100000,	1.000000
12.200000,	1.000000
12.300000,	1.000000
12.400000,	1.000000
12.500000,	1.000000
12.600000,	1.000000
12.700000,	1.000000
12.800000,	1.000000
12.900000,	1.000000
13.000000,	1.000000
13.100000,	1.000000
13.200000,	1.000000
13.300000,	1.000000
13.400000,	1.000000
13.500000,	1.000000
13.600000,	1.000000
13.700000,	1.000000
13.800000,	1.000000
13.900000,	1.000000
14.000000,	1.000000
14.100000,	1.000000
14.200000,	1.000000
14.300000,	1.000000
14.400000,	1.000000
14.500000,	1.000000
14.600000,	1.000000
14.700000,	1.000000
14.800000,	1.000000
14.900000,	1.000000
15.000000,	1.000000
15.100000,	1.000000
15.200000,	1.000000
15.300000,	1.000000
15.400000,	1.000000
15.500000,	1.000000
15.600000,	1.000000
15.700000,	1.000000
15.800000,	1.000000
15.900000,	1.000000
16.000000,	1.000000
16.100000,	1.000000
16.200000,	1.000000
16.300000,	1.000000
16.400000,	1.000000
16.500000,	1.000000
16.600000,	1.000000
16.700000,	1.000000
16.800000,	1.000000
16.900000,	1.000000
17.000000,	1.000000
17.100000,	1.000000
17.200000,	1.000000
17.300000,	1.000000
17.400000,	1.000000
17.500000,	1.000000
17.600000,	1.000000
17.700000,	1.000000
17.800000,	1.000000
17.900000,	1.000000
18.000000,	1.000000
18.100000,	1.000000
18.200000,	1.000000
18.300000,	1.000000
18.400000,	1.000000
18.500000,	1.000000
18.600000,	1.000000
18.700000,	1.000000
18.800000,	1.000000
18.900000,	1.000000
19.000000,	1.000000
19.100000,	1.000000
19.200000,	1.000000
19.300000,	1.000000
19.400000,	1.000000
19.500000,	1.000000
19.600000,	1.000000
19.700000,	1.000000
19.800000,	1.000000
19.900000,	1.000000
20.000000,	1.000000
20.100000,	1.000000
20.200000,	1.000000
20.300000,	1.000000
20.400000,	1.000000
20.500000,	1.000000
20.600000,	1.000000
20.700000,	1.000000
20.800000,	1.000000
20.900000,	1.000000
21.000000,	1.000000
21.100000,	1.000000
21.200000,	1.000000
21.300000,	1.000000
21.400000,	1.000000
21.500000,	1.000000
21.600000,	1.000000
21.700000,	1.000000
21.800000,	1.000000
21.900000,	1.000000
22.000000,	1.000000
22.100000,	1.000000
22.200000,	1.000000
22.300000,	1.000000
22.400000,	1.000000
22.500000,	1.000000
22.600000,	1.000000
22.700000,	1.000000
22.800000,	1.000000
22.900000,	1.000000
23.000000,	1.000000
23.100000,	1.000000
23.200000,	1.000000
23.300000,	1.000000
23.400000,	1.000000
23.500000,	1.000000
23.600000,	1.000000
23.700000,	1.000000
23.800000,	1.000000
23.900000,	1.000000
24.000000,	1.000000
24.100000,	1.000000
24.200000,	1.000000
24.300000,	1.000000
24.400000,	1.000000
24.500000,	1.000000
24.600000,	1.000000
24.700000,	1.000000
24.800000,	1.000000
24.900000,	1.000000
25.000000,	1.000000
25.100000,	1.000000
25.200000,	1.000000
25.300000,	1.000000
25.400000,	1.000000
25.500000,	1.000000
25.600000,	1.000000
25.700000,	1.000000
25.800000,	1.000000
25.900000,	1.000000
26.000000,	1.000000
26.100000,	1.000000
26.200000,	1.000000
26.300000,	1.000000
26.400000,	1.000000
26.500000,	1.000000
26.600000,	1.000000
26.700000,	1.000000
26.800000,	1.000000
26.900000,	1.000000
27.000000,	1.000000
27.100000,	1.000000
27.200000,	1.000000
27.300000,	1.000000
27.400000,	1.000000
27.500000,	1.000000
27.600000,	1.000000
27.700000,	1.000000
27.800000,	1.000000
27.900000,	1.000000
28.000000,	1.000000
28.100000,	1.000000
28.200000,	1.000000
28.300000,	1.000000
28.400000,	1.000000
28.500000,	1.000000
28.600000,	1.000000
28.700000,	1.000000
28.800000,	1.000000
28.900000,	1.000000
29.000000,	1.000000
29.100000,	1.000000
29.200000,	1.000000
29.300000,	1.000000
29.400000,	1.000000
29.500000,	1.000000
29.600000,	1.000000
29.700000,	1.000000
29.800000,	1.000000
29.900000,	1.000000
30.000000,	1.000000
30.100000,	1.000000
30.200000,	1.000000
30.300000,	1.000000
30.400000,	1.000000
30.500000,	1.000000
30.600000,	1.000000
30.700000,	1.000000
30.800000,	1.000000
30.900000,	1.000000
